SNo,Age,CryoSleep,Destination,FoodCourt,HomePlanet,RoomService,ShoppingMall,Spa,Transported,VIP,VRDeck
4317,36.0,False,55 Cancri e,0.0,Earth,0.0,0.0,725.0,False,False,2.0
3372,36.0,True,TRAPPIST-1e,0.0,Earth,0.0,0.0,0.0,True,False,0.0
1584,19.0,False,TRAPPIST-1e,87.0,Earth,5.0,0.0,0.0,False,False,0.0
7034,19.0,False,TRAPPIST-1e,0.0,Mars,193.0,2956.0,0.0,True,False,0.0
4830,40.0,False,TRAPPIST-1e,553.0,Europa,0.0,10.0,2787.0,False,False,52.0
2731,48.0,True,PSO J318.5-22,0.0,Earth,0.0,0.0,0.0,True,False,0.0
5056,32.0,False,TRAPPIST-1e,0.0,Mars,1781.0,654.0,580.0,False,False,0.0
6428,0.0,False,TRAPPIST-1e,0.0,Earth,0.0,0.0,0.0,False,False,0.0
2713,25.0,False,TRAPPIST-1e,9.0,Earth,0.0,2005.0,0.0,True,False,5.0
769,27.0,False,TRAPPIST-1e,42.0,Mars,1227.0,1.0,0.0,False,False,0.0
1863,19.0,True,55 Cancri e,0.0,Mars,0.0,0.0,0.0,True,False,0.0
7863,27.0,False,55 Cancri e,1283.0,Earth,0.0,0.0,2256.0,False,False,0.0
2453,50.0,True,55 Cancri e,0.0,Mars,0.0,0.0,0.0,True,False,0.0
2302,21.0,True,TRAPPIST-1e,0.0,Europa,0.0,0.0,0.0,True,False,0.0
4120,25.0,False,TRAPPIST-1e,3.0,Earth,141.0,640.0,0.0,False,False,100.0
5801,58.0,False,TRAPPIST-1e,1073.0,Europa,0.0,0.0,803.0,True,False,988.0
7540,39.0,False,TRAPPIST-1e,259.0,Mars,1369.0,960.0,1.0,False,False,29.0
3733,3.0,False,TRAPPIST-1e,0.0,Earth,0.0,0.0,0.0,False,False,0.0
1765,37.0,False,TRAPPIST-1e,25.0,Earth,28.0,26.0,806.0,False,False,3.0
7789,18.0,False,55 Cancri e,83.0,Earth,2.0,576.0,37.0,False,False,0.0
4822,21.0,True,TRAPPIST-1e,0.0,Mars,0.0,0.0,0.0,True,False,0.0
4650,43.0,False,TRAPPIST-1e,0.0,Mars,11.0,1297.0,38.0,True,False,0.0
1580,29.0,False,TRAPPIST-1e,0.0,Earth,7.0,0.0,797.0,False,False,0.0
7018,11.0,True,TRAPPIST-1e,0.0,Earth,0.0,0.0,0.0,True,False,0.0
7181,24.0,False,TRAPPIST-1e,636.0,Earth,0.0,136.0,37.0,False,False,0.0
7539,20.0,False,TRAPPIST-1e,38.0,Earth,0.0,0.0,0.0,False,False,1779.0
2062,20.0,False,TRAPPIST-1e,0.0,Earth,546.0,228.0,0.0,False,False,0.0
4701,23.0,False,TRAPPIST-1e,0.0,Earth,0.0,2102.0,0.0,True,False,0.0
1199,44.0,False,PSO J318.5-22,178.0,Earth,0.0,482.0,0.0,True,False,0.0
3939,22.0,False,TRAPPIST-1e,13.0,Earth,0.0,524.0,7.0,False,False,0.0
23,29.0,True,55 Cancri e,0.0,Earth,0.0,0.0,0.0,False,False,0.0
7099,9.0,False,TRAPPIST-1e,0.0,Europa,0.0,0.0,0.0,True,False,0.0
5900,37.0,True,TRAPPIST-1e,0.0,Europa,0.0,0.0,0.0,True,False,0.0
114,13.0,True,TRAPPIST-1e,0.0,Europa,0.0,0.0,0.0,True,False,0.0
